Wall time,Step,Value
1515920603.454595,1,0.12890625
1515920646.288878,21,0.1328125
1515920687.271442,41,0.16796875
1515920728.485588,61,0.234375
1515920769.686576,81,0.296875
1515920810.940875,101,0.3125
1515920851.821611,121,0.3203125
1515920892.758054,141,0.375
1515920933.962062,161,0.44140625
1515920975.185227,181,0.46484375
1515921017.000354,201,0.421875
1515921058.020261,221,0.46875
1515921099.07579,241,0.48046875
1515921140.431301,261,0.453125
1515921181.374504,281,0.4296875
1515921222.442414,301,0.46875
1515921263.329595,321,0.41796875
1515921304.300016,341,0.48046875
1515921345.202004,361,0.484375
1515921386.770297,381,0.52734375
1515921428.297863,401,0.5390625
1515921469.518813,421,0.484375
1515921510.571577,441,0.4765625
1515921551.125909,461,0.5625
1515921591.139973,481,0.55078125
1515921631.280734,501,0.546875
1515921671.32964,521,0.53125
1515921710.723578,541,0.51171875
1515921750.099182,561,0.546875
1515921789.735643,581,0.55859375
1515921829.366887,601,0.5546875
1515921869.306884,621,0.6328125
1515923981.775902,641,0.578125
1515924023.472305,661,0.546875
1515924074.111964,681,0.515625
1515924118.638597,701,0.57421875
1515924162.418346,721,0.62890625
1515924204.479974,741,0.54296875
1515924253.877915,761,0.5234375
1515924296.14182,781,0.5859375
1515924340.886667,801,0.6015625
1515924389.923421,821,0.62109375
1515924437.657492,841,0.58203125
1515924485.692477,861,0.51953125
1515924538.504743,881,0.54296875
1515924583.550932,901,0.59375
1515924625.26267,921,0.6171875
1515924667.41272,941,0.5703125
1515924709.481184,961,0.58984375
1515924751.533084,981,0.609375
1515924794.516668,1001,0.65234375
1515924836.776691,1021,0.625
1515924879.075203,1041,0.60546875
1515924920.711179,1061,0.63671875
1515924962.48981,1081,0.67578125
1515925004.557001,1101,0.59375
1515925046.94587,1121,0.6875
1515925089.026418,1141,0.6484375
1515925131.195761,1161,0.72265625
1515925173.305243,1181,0.671875
1515925215.900809,1201,0.5859375
1515925257.749376,1221,0.67578125
1515925299.803426,1241,0.60546875
1515925342.102169,1261,0.671875
1515925384.12995,1281,0.63671875
1515925426.413031,1301,0.640625
1515925468.524555,1321,0.69921875
1515925509.44262,1341,0.671875
1515925549.428066,1361,0.66015625
1515925591.249831,1381,0.57421875
1515925631.94315,1401,0.640625
1515925671.989165,1421,0.6875
1515925711.496816,1441,0.7109375
1515925751.546781,1461,0.640625
1515925791.903196,1481,0.65625
1515927369.36619,1501,0.6953125
1515927415.607103,1521,0.703125
1515927457.486361,1541,0.68359375
1515927499.617075,1561,0.6484375
1515927550.05293,1581,0.6953125
1515927595.578213,1601,0.6875
1515927637.689612,1621,0.62890625
